Epoch:1, train_loss: 0.3347, mse_loss: 1.0603, percept_loss: 0.2785, val_loss: 0.3221, lr: 9.999609168808891e-05, time: 3208
Epoch:2, train_loss: 0.3208, mse_loss: 1.0181, percept_loss: 0.2651, val_loss: 0.3114, lr: 9.998436736952335e-05, time: 2878
Epoch:3, train_loss: 0.3114, mse_loss: 0.9868, percept_loss: 0.2586, val_loss: 0.3042, lr: 9.996482889570917e-05, time: 2905
Epoch:4, train_loss: 0.3085, mse_loss: 0.9784, percept_loss: 0.2555, val_loss: 0.2950, lr: 9.993747935199788e-05, time: 2876
Epoch:5, train_loss: 0.3013, mse_loss: 0.9546, percept_loss: 0.2504, val_loss: 0.3048, lr: 9.990232305719945e-05, time: 2892
Epoch:6, train_loss: 0.3001, mse_loss: 0.9507, percept_loss: 0.2496, val_loss: 0.2956, lr: 9.985936556290039e-05, time: 2926
Epoch:7, train_loss: 0.2919, mse_loss: 0.9233, percept_loss: 0.2444, val_loss: 0.2923, lr: 9.980861365258704e-05, time: 2878
Epoch:8, train_loss: 0.2996, mse_loss: 0.9487, percept_loss: 0.2499, val_loss: 0.3021, lr: 9.975007534057437e-05, time: 2929
Epoch:9, train_loss: 0.2892, mse_loss: 0.9145, percept_loss: 0.2425, val_loss: 0.2831, lr: 9.968375987074041e-05, time: 2909
Epoch:10, train_loss: 0.2895, mse_loss: 0.9153, percept_loss: 0.2429, val_loss: 0.2815, lr: 9.960967771506666e-05, time: 2853
Epoch:11, train_loss: 0.2893, mse_loss: 0.9147, percept_loss: 0.2425, val_loss: 0.2923, lr: 9.952784057198422e-05, time: 2916
Epoch:12, train_loss: 0.2831, mse_loss: 0.8938, percept_loss: 0.2387, val_loss: 0.2866, lr: 9.943826136452673e-05, time: 2899
Epoch:13, train_loss: 0.2741, mse_loss: 0.8631, percept_loss: 0.2332, val_loss: 0.2864, lr: 9.934095423828945e-05, time: 2892
Epoch:14, train_loss: 0.2774, mse_loss: 0.8742, percept_loss: 0.2353, val_loss: 0.2827, lr: 9.923593455919566e-05, time: 2953
Epoch:15, train_loss: 0.2905, mse_loss: 0.9187, percept_loss: 0.2434, val_loss: 0.2864, lr: 9.912321891107009e-05, time: 2947
Epoch:16, train_loss: 0.2774, mse_loss: 0.8735, percept_loss: 0.2360, val_loss: 0.2800, lr: 9.900282509302022e-05, time: 2934
Epoch:17, train_loss: 0.2863, mse_loss: 0.9045, percept_loss: 0.2408, val_loss: 0.2733, lr: 9.887477211662558e-05, time: 2982
Epoch:18, train_loss: 0.2839, mse_loss: 0.8965, percept_loss: 0.2392, val_loss: 0.2794, lr: 9.873908020293557e-05, time: 3046
Epoch:19, train_loss: 0.2777, mse_loss: 0.8744, percept_loss: 0.2366, val_loss: 0.2745, lr: 9.859577077927636e-05, time: 3449
Epoch:20, train_loss: 0.2822, mse_loss: 0.8907, percept_loss: 0.2381, val_loss: 0.2720, lr: 9.844486647586723e-05, time: 3360
Epoch:21, train_loss: 0.2832, mse_loss: 0.8939, percept_loss: 0.2390, val_loss: 0.2825, lr: 9.828639112224704e-05, time: 3167
Epoch:22, train_loss: 0.2774, mse_loss: 0.8746, percept_loss: 0.2350, val_loss: 0.2745, lr: 9.812036974351124e-05, time: 3250
Epoch:23, train_loss: 0.2688, mse_loss: 0.8455, percept_loss: 0.2298, val_loss: 0.2792, lr: 9.794682855636009e-05, time: 3096
Epoch:24, train_loss: 0.2795, mse_loss: 0.8813, percept_loss: 0.2369, val_loss: 0.2719, lr: 9.776579496495882e-05, time: 2902
Epoch:25, train_loss: 0.2717, mse_loss: 0.8550, percept_loss: 0.2317, val_loss: 0.2770, lr: 9.75772975566101e-05, time: 3052
Epoch:26, train_loss: 0.2780, mse_loss: 0.8757, percept_loss: 0.2361, val_loss: 0.2689, lr: 9.738136609723983e-05, time: 3071
Epoch:27, train_loss: 0.2715, mse_loss: 0.8540, percept_loss: 0.2321, val_loss: 0.2674, lr: 9.717803152669678e-05, time: 4514
Epoch:28, train_loss: 0.2643, mse_loss: 0.8298, percept_loss: 0.2274, val_loss: 0.2691, lr: 9.696732595386676e-05, time: 2935
Epoch:29, train_loss: 0.2643, mse_loss: 0.8294, percept_loss: 0.2278, val_loss: 0.2681, lr: 9.674928265160228e-05, time: 2944
Epoch:30, train_loss: 0.2645, mse_loss: 0.8307, percept_loss: 0.2273, val_loss: 0.2665, lr: 9.652393605146843e-05, time: 4209
Epoch:31, train_loss: 0.2682, mse_loss: 0.8424, percept_loss: 0.2303, val_loss: 0.2685, lr: 9.629132173830565e-05, time: 3827
Epoch:32, train_loss: 0.2706, mse_loss: 0.8505, percept_loss: 0.2320, val_loss: 0.2620, lr: 9.605147644461058e-05, time: 4927
Epoch:33, train_loss: 0.2588, mse_loss: 0.8115, percept_loss: 0.2237, val_loss: 0.2648, lr: 9.58044380447354e-05, time: 5092
Epoch:34, train_loss: 0.2588, mse_loss: 0.8111, percept_loss: 0.2243, val_loss: 0.2689, lr: 9.555024554890728e-05, time: 4637
Epoch:35, train_loss: 0.2697, mse_loss: 0.8477, percept_loss: 0.2312, val_loss: 0.2643, lr: 9.528893909706796e-05, time: 3111
Epoch:36, train_loss: 0.2562, mse_loss: 0.8018, percept_loss: 0.2231, val_loss: 0.2684, lr: 9.502055995253536e-05, time: 2991
Epoch:37, train_loss: 0.2540, mse_loss: 0.7945, percept_loss: 0.2213, val_loss: 0.2593, lr: 9.474515049548755e-05, time: 2908
